rank_60d,ticker,contract,exchange,last_date,last_close,volatility_20d_pct,volatility_60d_pct,volatility_126d_pct,atr_14_pct,mean_abs_return_60d_pct,max_abs_return_60d_pct,max_drawdown_126d_pct,avg_dollar_volume_20d_m,bybit_turnover_24h_usdt,bybit_open_interest_usdt,bybit_spread_bps,bybit_funding_rate_pct
33,RDDT,RDDTUSDT,NYSE,2026-08-21,153.2899932861328,115.98017693213296,91.0667443181921,77.07984979379438,7.1860114710630585,4.0709132540163155,20.989663292746364,-30.796479946744736,1468.5927351218415,13917.1632,237075.0,11.107118356145666,0.0
34,CLS,CLSUSDT,NYSE,2026-08-21,296.54998779296875,98.15611622158616,90.99726961015027,80.92657256503072,7.906414449446107,4.447979812216009,13.295294323508532,-37.2248112564644,1137.0043869729614,,,,
35,300308.SZ,ZHONGJIUSDT,SZSE,2026-08-24,872.3400268554688,109.55678598042842,90.78810896654477,75.87769176790832,9.045991512019567,4.359349390191399,15.687034616401274,-37.496833066835556,38382.523858624845,189514.4634,79230.83,13.07943835353075,0.097674
36,ON,ONUSDT,NASDAQ,2026-08-21,74.20999908447266,53.72992488341956,88.13502762758874,76.24944855695016,5.95418734056716,3.9006454448359054,23.656726329166933,-44.590455355193825,791.6292510671616,227799.665,146472.57,26.270307639128617,-0.315529
37,IONQ,IONQUSDT,NYSE,2026-08-21,44.86000061035156,91.39930936906178,88.10407842912682,94.5174192671114,6.863397525224681,4.462441984576427,13.524222338624249,-55.612598991844365,862.6361164393998,265634.5875,383302.31,15.95805311751973,0.0
38,APLD,APLDUSDT,NASDAQ,2026-08-21,27.209999084472656,103.9822958990615,87.67797888579139,97.49066617405802,9.13398554018871,4.170710638845635,20.45650361956788,-53.23263121905122,551.2084122190571,90087.4504,156237.67,52.316890881912194,0.0
39,LRCX,LRCXUSDT,NASDAQ,2026-08-21,314.0,88.59654854140909,86.78669529276767,73.40033584717884,6.57980902203818,4.221568340959983,17.97899505442313,-41.76493344029593,3209.7145865794373,446500.3446,237978.15,19.17670193229568,0.016966
40,STX,STXXUSDT,NASDAQ,2026-08-21,850.0,84.16404718299182,86.66181889568473,76.78526375309019,8.183053119350694,4.338573035430734,12.235698947670937,-31.81039728717875,4444.797662694397,1732964.9605,240846.38,4.117568696789893,0.153806
41,KLAC,KLACUSDT,NASDAQ,2026-08-21,183.9900054931641,68.77828668928507,86.46708947964535,69.84328395530986,6.322200344741099,4.130181582298676,12.923529911205955,-43.59152270352884,2237.863401486511,1541796.9701,332120.41,20.429009193054387,0.005896
42,AMAT,AMATUSDT,NASDAQ,2026-08-21,492.3200073242188,82.60146713890667,86.09661557587826,70.009799949735,6.576289951057282,4.269374906242217,14.966201575955518,-39.633472686801866,4096.059295996704,171662.7298,960595.78,13.029854913599557,0.0
43,INTC,INTCUSDT,NASDAQ,2026-08-21,90.06999969482422,73.311687441806,84.4263383396489,84.81734353691097,7.217874069983051,4.192768260904081,11.29702040825833,-41.904359418853865,10889.405917167893,2671255.0989,8022555.91,1.1264432554215844,0.02769
44,035420.KS,NAVERUSDT,KRX,2026-08-24,223500.0,74.39445753152968,84.36542930687465,67.9175975570511,5.770404496527306,3.975620659454984,16.025641025641036,-34.688057040998224,292292.03455,28843.8341,15790.17,26.5260170876905,0.0
45,CIEN,CIENUSDT,NYSE,2026-08-21,395.7900085449219,86.92535750411642,81.86603406092382,80.39018979811236,7.639264466663144,3.96236236814139,13.659588777882092,-47.30941066711522,876.472503883667,178103.1294,112781.92,25.305342525886804,-0.021914999999999997
46,RIVN,RIVNUSDT,NASDAQ,2026-08-21,16.969999313354492,59.27000913807201,81.51851344817162,66.66035772217371,4.869260874055754,3.846968366763438,18.123136688903298,-27.282977536830167,369.895379260416,37684.9206,70554.06,23.405500292568256,0.0
47,WEN,WENSTOCKUSDT,NASDAQ,2026-08-21,9.010000228881836,72.54624947156503,81.0303042156371,67.00243121840218,4.641423072346053,3.4656972377340183,25.559102973361412,-23.26911730085114,81.01604377332687,463159.0511,186235.18,27.853601470670554,0.0
48,SNOW,SNOWUSDT,NYSE,2026-08-21,332.7799987792969,37.18606267548816,78.61271594995696,70.9917426377736,3.96008596289522,2.7350542093538617,36.48294216904835,-33.76175725439266,1543.2801410557556,653645.3237,835482.05,13.857091215808516,0.0
49,IBM,IBMUSDT,NYSE,2026-08-21,235.67999267578125,29.43087612632998,77.71699150308949,63.827043580205924,3.420381852679913,2.708129345649468,25.207595513952274,-37.49962073015676,1527.9125418123626,34568.1764,733360.49,10.573283427435557,0.0
50,AMD,AMDSTOCKUSDT,NASDAQ,2026-08-21,473.25,79.47117743044373,77.14424093143715,74.55754283329998,6.001027077191011,3.9639330037103195,12.997024259045054,-26.053946839070953,12802.788923010101,299910.6632,1980088.02,12.90627890468762,0.020177
51,VRT,VRTUSDT,NYSE,2026-08-21,261.95001220703125,91.21723693514379,76.90322725773783,68.10648941356288,6.396435545006068,3.543317682322695,17.25775511715121,-40.70478121394739,1684.7791418724823,353963.6993,131914.65,13.203883495146867,0.157139
52,APP,APPSTOCKUSDT,NASDAQ,2026-08-21,305.7699890136719,90.14537481535535,75.69964673291781,73.89454789566034,6.6820514169925085,3.2676449450549927,19.657725410449768,-50.50350273365291,2622.0356086720276,960976.6819,442257.1,22.655262423456325,0.0
53,HPE,HPEUSDT,NYSE,2026-08-21,53.45000076293945,55.22610866299827,73.69995765638637,62.16405943954406,5.474562291883781,3.4963267865266836,19.46809014633175,-26.356855988373763,870.7102269613457,273428.0473,269854.7,22.75744358050397,0.0
54,NOK,NOKIAUSDT,NYSE,2026-08-21,10.210000038146973,61.95221141196928,73.21658212969967,68.5041898697579,5.6338528055608625,3.640195683181853,13.477741345865068,-50.08902280702172,805.0400630397844,222401.7079,389834.74,6.912556164520268,0.0
55,FLEX,FLEXUSDT,NASDAQ,2026-08-21,110.4499969482422,70.96138864059876,72.870949967475,80.1841958717739,6.816243523768612,3.5704768280895403,10.85781169900798,-36.43487876385644,525.3277322804641,232559.4947,140898.17,45.84211973961676,0.0
